"","sqrt_LMA_gDW_m2.10.comps"
"Wave_974",-0.346253185753333
"Wave_975",-0.327524172746818
"Wave_976",-0.345196999362282
"Wave_977",-0.30987785794516
"Wave_978",-0.243704133021638
"Wave_979",-0.267039898207061
"Wave_980",-0.253260334533966
"Wave_981",-0.228727785792588
"Wave_982",-0.20268567093311
"Wave_983",-0.187201302022598
"Wave_984",-0.154219606315294
"Wave_985",-0.135916407918365
"Wave_986",-0.0808243862540656
"Wave_987",-0.0917924260600453
"Wave_988",-0.0853937884995839
"Wave_989",-0.00577503736917098
"Wave_990",0.0206755695109985
"Wave_991",0.0259110743914931
"Wave_992",0.0425274066190627
"Wave_993",0.0829837855415451
"Wave_994",0.105873194218442
"Wave_995",0.122743565140689
"Wave_996",0.0907845168283093
"Wave_997",0.050206105055886
"Wave_998",0.0225310547204973
"Wave_999",-0.0144430365869514
"Wave_1000",-0.0344614348099014
"Wave_1001",-0.264349053997558
"Wave_1002",-0.286700314512571
"Wave_1003",-0.291472458239458
"Wave_1004",-0.292737394590026
"Wave_1005",-0.288524057186703
"Wave_1006",-0.281563676139386
"Wave_1007",-0.281736271137428
"Wave_1008",-0.289309021689372
"Wave_1009",-0.288979548633394
"Wave_1010",-0.288412391497373
"Wave_1011",-0.29022696242396
"Wave_1012",-0.285148183911527
"Wave_1013",-0.280241350027309
"Wave_1014",-0.270807717891569
"Wave_1015",-0.257374232039896
"Wave_1016",-0.249524620111382
"Wave_1017",-0.241751112168823
"Wave_1018",-0.233317096047838
"Wave_1019",-0.225582366333634
"Wave_1020",-0.221329679339661
"Wave_1021",-0.210886891023011
"Wave_1022",-0.200224415960614
"Wave_1023",-0.18650771299725
"Wave_1024",-0.172863441203085
"Wave_1025",-0.163610843739619
"Wave_1026",-0.151608391103181
"Wave_1027",-0.138366614499911
"Wave_1028",-0.127365876893732
"Wave_1029",-0.111279474666261
"Wave_1030",-0.101004141199581
"Wave_1031",-0.093360036016917
"Wave_1032",-0.085213231273849
"Wave_1033",-0.0710970569696489
"Wave_1034",-0.0588822760658416
"Wave_1035",-0.0409775765040871
"Wave_1036",-0.0176017372567081
"Wave_1037",-0.00960668476578325
"Wave_1038",-0.00293536211023072
"Wave_1039",0.00391683503996738
"Wave_1040",0.01151803575941
"Wave_1041",0.0269958391025977
"Wave_1042",0.0380895072652125
"Wave_1043",0.0488625346865626
"Wave_1044",0.0578645038017888
"Wave_1045",0.0605795958516754
"Wave_1046",0.0642495710580743
"Wave_1047",0.0711109877072004
"Wave_1048",0.0744516825992637
"Wave_1049",0.080989574298323
"Wave_1050",0.0887614717476992
"Wave_1051",0.0937085024682386
"Wave_1052",0.102253884845416
"Wave_1053",0.116921088258182
"Wave_1054",0.126690195724199
"Wave_1055",0.131694261969182
"Wave_1056",0.137404686946412
"Wave_1057",0.140350477488638
"Wave_1058",0.137393023377018
"Wave_1059",0.137383422727598
"Wave_1060",0.145212550296701
"Wave_1061",0.14984929087157
"Wave_1062",0.155146727314813
"Wave_1063",0.163396514966309
"Wave_1064",0.173631151433839
"Wave_1065",0.17779002474424
"Wave_1066",0.184527625241402
"Wave_1067",0.196028805329734
"Wave_1068",0.202349340273039
"Wave_1069",0.212749978650447
"Wave_1070",0.224662773948538
"Wave_1071",0.232420372601059
"Wave_1072",0.245797718843461
"Wave_1073",0.258645434211007
"Wave_1074",0.26826524740187
"Wave_1075",0.280943843726583
"Wave_1076",0.290249547736446
"Wave_1077",0.299272952988901
"Wave_1078",0.309601290980967
"Wave_1079",0.32447891958235
"Wave_1080",0.33627427815284
"Wave_1081",0.346938667213014
"Wave_1082",0.355241698259413
"Wave_1083",0.370152183556916
"Wave_1084",0.382062034539616
"Wave_1085",0.390445060679148
"Wave_1086",0.403748063633116
"Wave_1087",0.41374329890395
"Wave_1088",0.420102773838191
"Wave_1089",0.434514478646638
"Wave_1090",0.443500302229493
"Wave_1091",0.459122990894311
"Wave_1092",0.467121361357343
"Wave_1093",0.478852253950058
"Wave_1094",0.489909112098513
"Wave_1095",0.499236460848957
"Wave_1096",0.508532554261934
"Wave_1097",0.520035507993626
"Wave_1098",0.53189383724795
"Wave_1099",0.544357665508176
"Wave_1100",0.555274945843478
"Wave_1101",0.563909254475325
"Wave_1102",0.576118197751935
"Wave_1103",0.585657832125892
"Wave_1104",0.588488222277982
"Wave_1105",0.593053741110296
"Wave_1106",0.596932669860282
"Wave_1107",0.599779598471189
"Wave_1108",0.603428631482124
"Wave_1109",0.609891324407978
"Wave_1110",0.612454316950475
"Wave_1111",0.612536150874302
"Wave_1112",0.612598760087646
"Wave_1113",0.616450093923409
"Wave_1114",0.616459870658255
"Wave_1115",0.613583797716973
"Wave_1116",0.612034194500552
"Wave_1117",0.612842271866999
"Wave_1118",0.607335023374172
"Wave_1119",0.599184003584513
"Wave_1120",0.589015428730415
"Wave_1121",0.579287854758654
"Wave_1122",0.564508318805074
"Wave_1123",0.541785882306006
"Wave_1124",0.525441715782215
"Wave_1125",0.507657538202994
"Wave_1126",0.480272855737428
"Wave_1127",0.448154312661828
"Wave_1128",0.423743331291181
"Wave_1129",0.396019476751686
"Wave_1130",0.359388144658185
"Wave_1131",0.316607448626422
"Wave_1132",0.288417976212231
"Wave_1133",0.252223386925694
"Wave_1134",0.217383421993956
"Wave_1135",0.178424950599047
"Wave_1136",0.147917450941029
"Wave_1137",0.118945666442605
"Wave_1138",0.0852967045942783
"Wave_1139",0.0478090896138775
"Wave_1140",0.0143258622634918
"Wave_1141",-0.0203663019349753
"Wave_1142",-0.0534131697451045
"Wave_1143",-0.0952110174979273
"Wave_1144",-0.131665447613884
"Wave_1145",-0.163928855617228
"Wave_1146",-0.196237191034252
"Wave_1147",-0.238901519833829
"Wave_1148",-0.274889625352388
"Wave_1149",-0.307372875229289
"Wave_1150",-0.337966447073442
"Wave_1151",-0.380927904320254
"Wave_1152",-0.421088591890713
"Wave_1153",-0.452366851402769
"Wave_1154",-0.484381458700546
